mapping_id,domestic_asset_id,foreign_asset_id,domestic_symbol,foreign_symbol,domestic_name,foreign_name,domestic_asset_type,foreign_asset_type,domestic_exchange,foreign_exchange,domestic_country,foreign_country,underlying_group,currency_domestic,currency_foreign,unit_domestic,unit_foreign,unit_conversion,fx_conversion_needed,trading_hour_overlap,relation_type,strategy_type,direction_supported,mapping_confidence,data_source,source_status,notes
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_AU_FUT_COMEX_GC,FUT_SHFE_AU,FUT_COMEX_GC,AU,GC,沪金,COMEX黄金期货,FUTURE,FUTURE,SHFE,COMEX,CN,US,GOLD,CNY,USD,CHECK,CHECK,gram_to_troy_ounce_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_AU_FUT_TOCOM_GOLD,FUT_SHFE_AU,FUT_TOCOM_GOLD,AU,Gold,沪金,TOCOM黄金期货,FUTURE,FUTURE,SHFE,TOCOM,CN,JP,GOLD,CNY,JPY,CHECK,CHECK,gram_to_troy_ounce_conversion_needed,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_ETF_RELATED_FUT_SHFE_AU_ETF_US_GLD,FUT_SHFE_AU,ETF_US_GLD,AU,GLD,沪金,SPDR黄金ETF,FUTURE,ETF,SHFE,NYSEARCA,CN,US,GOLD,CNY,USD,CHECK,CHECK,gram_to_troy_ounce_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_ETF_RELATED,CROSS_MARKET_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_AG_FUT_COMEX_SI,FUT_SHFE_AG,FUT_COMEX_SI,AG,SI,沪银,COMEX白银期货,FUTURE,FUTURE,SHFE,COMEX,CN,US,SILVER,CNY,USD,CHECK,CHECK,kg_to_troy_ounce_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_ETF_RELATED_FUT_SHFE_AG_ETF_US_SLV,FUT_SHFE_AG,ETF_US_SLV,AG,SLV,沪银,iShares白银ETF,FUTURE,ETF,SHFE,NYSEARCA,CN,US,SILVER,CNY,USD,CHECK,CHECK,kg_to_troy_ounce_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_ETF_RELATED,CROSS_MARKET_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_AG_FUT_TOCOM_SILVER,FUT_SHFE_AG,FUT_TOCOM_SILVER,AG,Silver,沪银,TOCOM白银期货,FUTURE,FUTURE,SHFE,TOCOM,CN,JP,SILVER,CNY,JPY,CHECK,CHECK,kg_to_troy_ounce_conversion_needed,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,LOW,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_GFEX_PD_FUT_NYMEX_PA,FUT_GFEX_PD,FUT_NYMEX_PA,PD,PA,钯,NYMEX钯期货,FUTURE,FUTURE,GFEX,NYMEX,CN,US,PALLADIUM,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_GFEX_PT_FUT_NYMEX_PL,FUT_GFEX_PT,FUT_NYMEX_PL,PT,PL,铂,NYMEX铂期货,FUTURE,FUTURE,GFEX,NYMEX,CN,US,PLATINUM,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_INE_BC_FUT_LME_CA,FUT_INE_BC,FUT_LME_CA,BC,CA,国际铜,LME铜,FUTURE,FUTURE,INE,LME,CN,UK,COPPER,CNY,USD,CHECK,CHECK,metric_ton_to_lme_lot_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_INE_BC_FUT_COMEX_HG,FUT_INE_BC,FUT_COMEX_HG,BC,HG,国际铜,COMEX铜,FUTURE,FUTURE,INE,COMEX,CN,US,COPPER,CNY,USD,CHECK,CHECK,metric_ton_to_lme_lot_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
