品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,CFFEX,中国金融期货交易所,IC,IC,137,高,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IC,中证期货,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IC,中证期货下季连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IC,中证期货当季连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IC,中证期货当月连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IC,中证期货次月连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IF,IF,197,高,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IF,沪深期货,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IF,沪深期货下季,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IF,沪深期货当季,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IF,沪深期货当月,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IF,沪深期货次月,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IH,IH,137,高,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IH,上证期货,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IH,上证期货下季连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IH,上证期货当季连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IH,上证期货当月连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IH,上证期货次月连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
