domestic_product_code,domestic_product_name,domestic_exchange_code,domestic_exchange_name,foreign_product_code,foreign_product_name,foreign_exchange_code,foreign_exchange_name,foreign_country,mapping_order,mapping_strength,mapping_note,source_url,updated_at
cu,铜,SHFE,上海期货交易所,HG,铜,COMEX,COMEX,美国,1,A,主映射：同一基础金属，COMEX Copper,https://www.cmegroup.com/markets/metals/base/copper.html,2026-05-21
cu,铜,SHFE,上海期货交易所,CA,铜,LME,London Metal Exchange,英国,2,A,主映射：同一基础金属，LME Copper；代码按常见行情源口径保留为CA,https://www.lme.com/Metals/Non-ferrous/LME-Copper,2026-05-21
al,铝,SHFE,上海期货交易所,AL,铝,LME,London Metal Exchange,英国,1,A,主映射：同一基础金属，LME Aluminium；代码按常见行情源口径保留为AL,https://www.lme.com/Metals/Non-ferrous/LME-Aluminium,2026-05-21
al,铝,SHFE,上海期货交易所,ALI,铝,COMEX,COMEX,美国,2,B,辅助映射：COMEX Aluminium，需按公司国外行情源代码确认,https://www.cmegroup.com/markets/metals/base/aluminum.html,2026-05-21
zn,锌,SHFE,上海期货交易所,ZS,锌,LME,London Metal Exchange,英国,1,A,主映射：同一基础金属，LME Zinc；代码按常见行情源口径保留为ZS,https://www.lme.com/Metals/Non-ferrous/LME-Zinc,2026-05-21
pb,铅,SHFE,上海期货交易所,PB,铅,LME,London Metal Exchange,英国,1,A,主映射：同一基础金属，LME Lead；该行必须写死，不能由模糊匹配覆盖,https://www.lme.com/Metals/Non-ferrous/LME-Lead,2026-05-21
ni,镍,SHFE,上海期货交易所,NI,镍,LME,London Metal Exchange,英国,1,A,主映射：同一基础金属，LME Nickel,https://www.lme.com/Metals/Non-ferrous/LME-Nickel,2026-05-21
sn,锡,SHFE,上海期货交易所,SN,锡,LME,London Metal Exchange,英国,1,A,主映射：同一基础金属，LME Tin,https://www.lme.com/Metals/Non-ferrous/LME-Tin,2026-05-21
au,黄金,SHFE,上海期货交易所,GC,黄金,COMEX,COMEX,美国,1,A,主映射：同一贵金属，COMEX Gold,https://www.cmegroup.com/markets/metals/precious/gold.html,2026-05-21
au,黄金,SHFE,上海期货交易所,JAU,黄金,TOCOM,Tokyo Commodity Exchange,日本,2,B,辅助映射：TOCOM Gold；国外行情源代码需确认,https://www.jpx.co.jp/english/derivatives/products/precious-metals/gold-futures/index.html,2026-05-21
ag,白银,SHFE,上海期货交易所,SI,白银,COMEX,COMEX,美国,1,A,主映射：同一贵金属，COMEX Silver,https://www.cmegroup.com/markets/metals/precious/silver.html,2026-05-21
ag,白银,SHFE,上海期货交易所,AG,白银,LME,London Metal Exchange,英国,2,B,辅助映射：按旧表/常见行情源口径保留，需确认是否仍有有效国外数据源,https://www.lme.com/,2026-05-21
