asset_id,symbol,name_cn,asset_type,subtype,exchange_code,exchange_name,country,currency,contract_month_rule,contract_rule_code,contract_rule_desc_cn,contract_rule_params,listed_contract_count_rule,expiry_rule,expiry_rule_code,last_trading_day_rule,delivery_day_rule,exercise_rule,exercise_type,settlement_type,contract_multiplier,contract_unit,tick_size,quote_unit,price_limit_rule,margin_rule,trading_hours,night_trading,position_limit_rule,delivery_rule,rule_parseable,data_source_1,data_source_2,source_status,update_date,notes,observed_delivery_months,sample_last_ddate,official_source_name,official_source_url,review_status,review_notes,akshare_update_time,special_review_flag,special_review_reason,final_rule_status,static_rule_missing_fields
FUT_CFFEX_IC,IC,中证500股指期货,FUTURE,INDEX_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,当月、下月及随后两个季月,CURRENT_NEXT_TWO_QUARTER,当月、下月及随后两个季月,current=1;next=1;quarter=2,4个合约月份,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第三个周五，遇国家法定假日顺延,同最后交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,现金交割,200,指数点,0.2点,指数点,上一交易日结算价的±10%,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:00,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,现金交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所中证500股指期货合约表补充,"1,2,3,4,5,6,7,8,9,10,11,12",20261218,中国金融期货交易所官网,https://www.cffex.com.cn/cn/zz500.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CFFEX_IF,IF,沪深300股指期货,FUTURE,INDEX_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,当月、下月及随后两个季月,CURRENT_NEXT_TWO_QUARTER,当月、下月及随后两个季月,current=1;next=1;quarter=2,4个合约月份,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第三个周五，遇国家法定假日顺延,同最后交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,现金交割,300,指数点,0.2点,指数点,上一交易日结算价的±10%,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:00,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,现金交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所沪深300股指期货合约表补充,"1,2,3,4,5,6,7,8,9,10,11,12",20261218,中国金融期货交易所官网,https://www.cffex.com.cn/cn/hs300.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CFFEX_IH,IH,上证50股指期货,FUTURE,INDEX_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,当月、下月及随后两个季月,CURRENT_NEXT_TWO_QUARTER,当月、下月及随后两个季月,current=1;next=1;quarter=2,4个合约月份,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第三个周五，遇国家法定假日顺延,同最后交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,现金交割,300,指数点,0.2点,指数点,上一交易日结算价的±10%,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:00,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,现金交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所上证50股指期货合约表补充,"1,2,3,4,5,6,7,8,9,10,11,12",20261218,中国金融期货交易所官网,https://www.cffex.com.cn/cn/sz50gzqh.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CFFEX_IM,IM,中证1000股指期货,FUTURE,INDEX_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,当月、下月及随后两个季月,CURRENT_NEXT_TWO_QUARTER,当月、下月及随后两个季月,current=1;next=1;quarter=2,4个合约月份,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第三个周五，遇国家法定假日顺延,同最后交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,现金交割,200,指数点,0.2点,指数点,上一交易日结算价的±10%,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:00,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,现金交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所中证1000股指期货合约表补充,"1,2,3,4,5,6,7,8,9,10,11,12",20261218,中国金融期货交易所官网,https://www.cffex.com.cn/cn/zz1000.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CFFEX_T,T,10年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,最近的三个季月,THREE_QUARTER_MONTHS,最近的三个季月（3月、6月、9月、12月中的最近三个月循环）,quarter=3,最近三个季月,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第二个星期五,最后交易日后的第三个交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,实物交割,10000,名义长期国债,0.005元,百元净价报价,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:15,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,实物交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所10年期国债期货合约表补充,"3,6,9,12",20261216,中国金融期货交易所官网,https://www.cffex.com.cn/cn/10t.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CFFEX_TF,TF,5年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,最近的三个季月,THREE_QUARTER_MONTHS,最近的三个季月（3月、6月、9月、12月中的最近三个月循环）,quarter=3,最近三个季月,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第二个星期五,最后交易日后的第三个交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,实物交割,10000,名义中期国债,0.005元,百元净价报价,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:15,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,实物交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所5年期国债期货合约表补充,"3,6,9,12",20261216,中国金融期货交易所官网,https://www.cffex.com.cn/cn/5tf.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CFFEX_TL,TL,30年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,最近的三个季月,THREE_QUARTER_MONTHS,最近的三个季月（3月、6月、9月、12月中的最近三个月循环）,quarter=3,最近三个季月,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第二个星期五,最后交易日后的第三个交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,实物交割,10000,名义超长期国债,0.01元,百元净价报价,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:15,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,实物交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所30年期国债期货合约表补充,"3,6,9,12",20261216,中国金融期货交易所官网,https://www.cffex.com.cn/cn/30tl.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CFFEX_TS,TS,2年期国债期货,FUTURE,TREASURY_FUTURE,CFFEX,中国金融期货交易所,CN,CNY,最近的三个季月,THREE_QUARTER_MONTHS,最近的三个季月（3月、6月、9月、12月中的最近三个月循环）,quarter=3,最近三个季月,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,合约到期月份的第二个星期五,最后交易日后的第三个交易日,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,实物交割,20000,名义中短期国债,0.002元,百元净价报价,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,9:30-11:30;13:00-15:15,N,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,实物交割,Y,Tushare,ExchangeOfficialWebsite,OFFICIAL_REVIEWED,2026-05-22,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | manual_official_rule: 已根据中金所2年期国债期货合约表补充,"3,6,9,12",20261216,中国金融期货交易所官网,https://www.cffex.com.cn/cn/2ts.html,DONE,,2026-05-22 12:38:28,N,,OFFICIAL_COMPLETE,
FUT_CZCE_AP,AP,苹果,FUTURE,COMMODITY_FUTURE,CZCE,郑州商品交易所,CN,CNY,"1,3,4,5,7,10,11,12",INFERRED_FIXED_MONTHS,根据已上市合约观察到的固定月份组合,"months=1,3,4,5,7,10,11,12",根据已上市合约月份推断，需复核,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,CHECK,CHECK,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,CHECK,10,吨,1.0,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,AKShare/OpenCTP margin_rate_long=0.09; margin_rate_short=0.09; update_time=2026-05-22 12:38:28,周一至周五(北京时间法定节假日除外)上午9:00-11:30下午13:30-15:00及交易所规定的其他时间,CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK,N,Tushare,ExchangeOfficialWebsite,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,2026-05-22,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review","1,3,4,5,7,10,11,12",20270519,,,,,2026-05-22 12:38:28,N,,INFERRED_NEED_REVIEW,last_trading_day_rule;settlement_type;delivery_rule
FUT_CZCE_CF,CF,郑棉,FUTURE,COMMODITY_FUTURE,CZCE,郑州商品交易所,CN,CNY,"1,3,4,5,6,7,8,9,10,11,12",INFERRED_FIXED_MONTHS,根据已上市合约观察到的固定月份组合,"months=1,3,4,5,6,7,8,9,10,11,12",根据已上市合约月份推断，需复核,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,CHECK,CHECK,NA_NOT_APPLICABLE,NA_NOT_APPLICABLE,CHECK,5,吨,5.0,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,"上午9:00-11:30,下午13:30-15:00,下午21:00-23:00(夜盘)",CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK,N,Tushare,ExchangeOfficialWebsite,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,2026-05-22,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review","1,3,4,5,6,7,8,9,10,11,12",20270519,,,,,2026-05-22 12:38:28,N,,INFERRED_NEED_REVIEW,last_trading_day_rule;settlement_type;delivery_rule
