asset_id,asset_type,subtype,symbol,name_cn,name_en,exchange_code,exchange_name,country,currency,underlying_group,sector,spot_category,spot_price_unit,spot_quote_unit,tradable,can_long,can_short,price_source_status,notes
SPOT_CN_NATURAL_RUBBER,SPOT,COMMODITY_SPOT,NATURAL_RUBBER,NATURAL_RUBBER现货,NATURAL_RUBBER Spot,CN_SPOT,中国现货参考市场,CN,CNY,NATURAL_RUBBER,其他,其他,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_WIRE_ROD,SPOT,COMMODITY_SPOT,WIRE_ROD,WIRE_ROD现货,WIRE_ROD Spot,CN_SPOT,中国现货参考市场,CN,CNY,WIRE_ROD,其他,其他,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_APPLE,SPOT,COMMODITY_SPOT,APPLE,苹果现货,Apple Spot,CN_SPOT,中国现货参考市场,CN,CNY,APPLE,农产品,农产品,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_COMMON_WHEAT,SPOT,COMMODITY_SPOT,COMMON_WHEAT,普麦现货,Common Wheat Spot,CN_SPOT,中国现货参考市场,CN,CNY,COMMON_WHEAT,农产品,农产品,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_CORN,SPOT,COMMODITY_SPOT,CORN,玉米现货,Corn Spot,CN_SPOT,中国现货参考市场,CN,CNY,CORN,农产品,农产品,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_CORN_STARCH,SPOT,COMMODITY_SPOT,CORN_STARCH,玉米淀粉现货,Corn Starch Spot,CN_SPOT,中国现货参考市场,CN,CNY,CORN_STARCH,农产品,农产品,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_COTTON,SPOT,COMMODITY_SPOT,COTTON,棉花现货,Cotton Spot,CN_SPOT,中国现货参考市场,CN,CNY,COTTON,农产品,农产品,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_COTTON_YARN,SPOT,COMMODITY_SPOT,COTTON_YARN,棉纱现货,Cotton Yarn Spot,CN_SPOT,中国现货参考市场,CN,CNY,COTTON_YARN,农产品,农产品,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_EARLY_INDICA_RICE,SPOT,COMMODITY_SPOT,EARLY_INDICA_RICE,早籼稻现货,Early Indica Rice Spot,CN_SPOT,中国现货参考市场,CN,CNY,EARLY_INDICA_RICE,农产品,农产品,人民币元/吨,元/吨,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
SPOT_CN_EGG,SPOT,COMMODITY_SPOT,EGG,鸡蛋现货,Egg Spot,CN_SPOT,中国现货参考市场,CN,CNY,EGG,农产品,农产品,人民币元/克,元/克,N,N,N,SPOT_REFERENCE_ONLY,商品现货参考资产，用于期货-现货映射和后续套利组合构建；不代表可直接交易。
