mapping_id,asset_id_a,asset_id_b,symbol_a,symbol_b,name_a,name_b,asset_type_a,asset_type_b,exchange_a,exchange_b,underlying_group,relation_type,strategy_type,market_relation,tradable_check,direction_supported,long_short_note,mapping_confidence,data_source_1,data_source_2,source_status,notes
ETF_INDEX_ETF_SSE_510050_INDEX_SSE50,ETF_SSE_510050,INDEX_SSE50,510050,000016,上证50ETF华夏,上证50,ETF,INDEX,SSE,SSE,SSE50,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510100_INDEX_SSE50,ETF_SSE_510100,INDEX_SSE50,510100,000016,上证50ETF易方达,上证50,ETF,INDEX,SSE,SSE,SSE50,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510190_INDEX_SSE50,ETF_SSE_510190,INDEX_SSE50,510190,000016,上证50ETF华安,上证50,ETF,INDEX,SSE,SSE,SSE50,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510300_INDEX_CSI300,ETF_SSE_510300,INDEX_CSI300,510300,000300,沪深300ETF华泰柏瑞,沪深300,ETF,INDEX,SSE,SSE,CSI300,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510310_INDEX_CSI300,ETF_SSE_510310,INDEX_CSI300,510310,000300,沪深300ETF易方达,沪深300,ETF,INDEX,SSE,SSE,CSI300,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510320_INDEX_CSI300,ETF_SSE_510320,INDEX_CSI300,510320,000300,沪深300ETF中金,沪深300,ETF,INDEX,SSE,SSE,CSI300,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510330_INDEX_CSI300,ETF_SSE_510330,INDEX_CSI300,510330,000300,沪深300ETF华夏,沪深300,ETF,INDEX,SSE,SSE,CSI300,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510350_INDEX_CSI300,ETF_SSE_510350,INDEX_CSI300,510350,000300,沪深300ETF工银,沪深300,ETF,INDEX,SSE,SSE,CSI300,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510360_INDEX_CSI300,ETF_SSE_510360,INDEX_CSI300,510360,000300,沪深300ETF广发,沪深300,ETF,INDEX,SSE,SSE,CSI300,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
ETF_INDEX_ETF_SSE_510370_INDEX_CSI300,ETF_SSE_510370,INDEX_CSI300,510370,000300,沪深300ETF兴业,沪深300,ETF,INDEX,SSE,SSE,CSI300,ETF_INDEX,ETF_PREMIUM_DISCOUNT_ARBITRAGE,CN_DOMESTIC,CHECK,INDEX_REFERENCE_ONLY,指数为参考标的，不直接交易。,HIGH,asset_master_for_mapping_patched,underlying_mapping_fixed,DOMESTIC_MAPPING_FIXED_CANDIDATE_NEED_REVIEW,根据 Step 5.1 patched asset master 和 fixed underlying_mapping 自动生成国内跨市场映射候选，非套利计算结果。
