mapping_id,future_asset_id,spot_asset_id,future_symbol,spot_symbol,future_name,spot_name,exchange_code,exchange_name,underlying_group,relation_type,strategy_type,mapping_role,tradable_check,direction_supported,price_source_needed,relation_desc_cn
SPOT_MAP_FUT_CZCE_AP_SPOT_CN_APPLE,FUT_CZCE_AP,SPOT_CN_APPLE,AP,APPLE,苹果,苹果现货,CZCE,郑州商品交易所,APPLE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_CF_SPOT_CN_COTTON,FUT_CZCE_CF,SPOT_CN_COTTON,CF,COTTON,郑棉,棉花现货,CZCE,郑州商品交易所,COTTON,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_CJ_SPOT_CN_JUJUBE,FUT_CZCE_CJ,SPOT_CN_JUJUBE,CJ,JUJUBE,红枣,红枣现货,CZCE,郑州商品交易所,JUJUBE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_CY_SPOT_CN_COTTON_YARN,FUT_CZCE_CY,SPOT_CN_COTTON_YARN,CY,COTTON_YARN,棉纱,棉纱现货,CZCE,郑州商品交易所,COTTON_YARN,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_ER_SPOT_CN_EARLY_INDICA_RICE,FUT_CZCE_ER,SPOT_CN_EARLY_INDICA_RICE,ER,EARLY_INDICA_RICE,早籼稻,早籼稻现货,CZCE,郑州商品交易所,EARLY_INDICA_RICE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_FG_SPOT_CN_GLASS,FUT_CZCE_FG,SPOT_CN_GLASS,FG,GLASS,玻璃,玻璃现货,CZCE,郑州商品交易所,GLASS,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_JR_SPOT_CN_JAPONICA_RICE,FUT_CZCE_JR,SPOT_CN_JAPONICA_RICE,JR,JAPONICA_RICE,粳稻,粳米现货,CZCE,郑州商品交易所,JAPONICA_RICE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_LR_SPOT_CN_LATE_INDICA_RICE,FUT_CZCE_LR,SPOT_CN_LATE_INDICA_RICE,LR,LATE_INDICA_RICE,晚籼稻,晚籼稻现货,CZCE,郑州商品交易所,LATE_INDICA_RICE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_MA_SPOT_CN_METHANOL,FUT_CZCE_MA,SPOT_CN_METHANOL,MA,METHANOL,甲醇,甲醇现货,CZCE,郑州商品交易所,METHANOL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_ME_SPOT_CN_METHANOL,FUT_CZCE_ME,SPOT_CN_METHANOL,ME,METHANOL,甲醇,甲醇现货,CZCE,郑州商品交易所,METHANOL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
