foreign_asset_id,foreign_asset_type,foreign_subtype,foreign_symbol,foreign_name_en,foreign_name_cn,foreign_exchange_code,foreign_exchange_name,foreign_country,foreign_currency,foreign_contract_unit,foreign_quote_unit,foreign_tick_size,underlying_group,sector,tradable,can_long,can_short,data_source,source_status,notes
FUT_COMEX_GC,FUTURE,COMMODITY_FUTURE,GC,COMEX Gold Futures,COMEX黄金期货,COMEX,COMEX,US,USD,CHECK,CHECK,CHECK,GOLD,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_TOCOM_GOLD,FUTURE,COMMODITY_FUTURE,Gold,TOCOM Gold Futures,TOCOM黄金期货,TOCOM,TOCOM,JP,JPY,CHECK,CHECK,CHECK,GOLD,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_GLD,ETF,COMMODITY_ETF,GLD,SPDR Gold Shares,SPDR黄金ETF,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,GOLD,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_COMEX_SI,FUTURE,COMMODITY_FUTURE,SI,COMEX Silver Futures,COMEX白银期货,COMEX,COMEX,US,USD,CHECK,CHECK,CHECK,SILVER,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
ETF_US_SLV,ETF,COMMODITY_ETF,SLV,iShares Silver Trust,iShares白银ETF,NYSEARCA,NYSE Arca,US,USD,CHECK,CHECK,CHECK,SILVER,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_TOCOM_SILVER,FUTURE,COMMODITY_FUTURE,Silver,TOCOM Silver Futures,TOCOM白银期货,TOCOM,TOCOM,JP,JPY,CHECK,CHECK,CHECK,SILVER,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_NYMEX_PA,FUTURE,COMMODITY_FUTURE,PA,NYMEX Palladium Futures,NYMEX钯期货,NYMEX,NYMEX,US,USD,CHECK,CHECK,CHECK,PALLADIUM,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_NYMEX_PL,FUTURE,COMMODITY_FUTURE,PL,NYMEX Platinum Futures,NYMEX铂期货,NYMEX,NYMEX,US,USD,CHECK,CHECK,CHECK,PLATINUM,贵金属,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_CA,FUTURE,COMMODITY_FUTURE,CA,LME Copper,LME铜,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,COPPER,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_COMEX_HG,FUTURE,COMMODITY_FUTURE,HG,COMEX Copper,COMEX铜,COMEX,COMEX,US,USD,CHECK,CHECK,CHECK,COPPER,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
