品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,CFFEX,中国金融期货交易所,IC,IC,142,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CFFEX,中国金融期货交易所,IF,IF,202,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CFFEX,中国金融期货交易所,IH,IH,142,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CFFEX,中国金融期货交易所,IM,IM,55,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CZCE,郑州商品交易所,CF,郑棉,150,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,MA,甲醇,146,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,OI,菜油,86,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,RM,菜粕,101,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,SR,白糖,129,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,TA,PTA,246,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,A,豆一,173,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,B,豆二,190,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,C,玉米,137,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,M,豆粕,206,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
