section,exchange_code,metric,value
overall,ALL,total_rule_count,98
overall,ALL,official_complete_count,8
overall,ALL,html_parsed_need_review_count,22
overall,ALL,inferred_need_review_count,60
overall,ALL,akshare_need_review_count,0
overall,ALL,special_or_inactive_need_review_count,8
overall,ALL,need_review_count,0
overall,ALL,rule_parseable_y_count,30
overall,ALL,rule_parseable_n_count,68
overall,ALL,tick_size_missing_count,8
overall,ALL,contract_month_rule_missing_count,0
overall,ALL,contract_rule_code_missing_count,21
overall,ALL,last_trading_day_rule_missing_count,68
overall,ALL,settlement_type_missing_count,68
overall,ALL,delivery_rule_missing_count,68
overall,ALL,dynamic_margin_rule_count,38
overall,ALL,dynamic_price_limit_rule_count,72
overall,ALL,remaining_review_count,89
by_exchange,CFFEX,total_count,8
by_exchange,CFFEX,official_complete_count,8
by_exchange,CFFEX,html_parsed_need_review_count,0
by_exchange,CFFEX,inferred_need_review_count,0
by_exchange,CFFEX,special_or_inactive_need_review_count,0
by_exchange,CFFEX,rule_parseable_y_count,8
by_exchange,CFFEX,remaining_review_count,0
by_exchange,CFFEX,tick_size_missing_count,0
by_exchange,CFFEX,last_trading_day_rule_missing_count,0
by_exchange,CFFEX,settlement_type_missing_count,0
by_exchange,CZCE,total_count,33
by_exchange,CZCE,official_complete_count,0
by_exchange,CZCE,html_parsed_need_review_count,0
by_exchange,CZCE,inferred_need_review_count,26
by_exchange,CZCE,special_or_inactive_need_review_count,7
by_exchange,CZCE,rule_parseable_y_count,0
by_exchange,CZCE,remaining_review_count,33
by_exchange,CZCE,tick_size_missing_count,7
by_exchange,CZCE,last_trading_day_rule_missing_count,33
by_exchange,CZCE,settlement_type_missing_count,33
by_exchange,DCE,total_count,26
by_exchange,DCE,official_complete_count,0
by_exchange,DCE,html_parsed_need_review_count,0
by_exchange,DCE,inferred_need_review_count,26
by_exchange,DCE,special_or_inactive_need_review_count,0
by_exchange,DCE,rule_parseable_y_count,0
by_exchange,DCE,remaining_review_count,26
by_exchange,DCE,tick_size_missing_count,0
by_exchange,DCE,last_trading_day_rule_missing_count,26
by_exchange,DCE,settlement_type_missing_count,26
by_exchange,GFEX,total_count,5
by_exchange,GFEX,official_complete_count,0
by_exchange,GFEX,html_parsed_need_review_count,0
by_exchange,GFEX,inferred_need_review_count,5
by_exchange,GFEX,special_or_inactive_need_review_count,0
by_exchange,GFEX,rule_parseable_y_count,0
by_exchange,GFEX,remaining_review_count,5
by_exchange,GFEX,tick_size_missing_count,0
by_exchange,GFEX,last_trading_day_rule_missing_count,5
by_exchange,GFEX,settlement_type_missing_count,5
by_exchange,INE,total_count,6
by_exchange,INE,official_complete_count,0
by_exchange,INE,html_parsed_need_review_count,4
by_exchange,INE,inferred_need_review_count,1
by_exchange,INE,special_or_inactive_need_review_count,1
by_exchange,INE,rule_parseable_y_count,4
by_exchange,INE,remaining_review_count,5
by_exchange,INE,tick_size_missing_count,1
by_exchange,INE,last_trading_day_rule_missing_count,2
by_exchange,INE,settlement_type_missing_count,2
by_exchange,SHFE,total_count,20
by_exchange,SHFE,official_complete_count,0
by_exchange,SHFE,html_parsed_need_review_count,18
by_exchange,SHFE,inferred_need_review_count,2
by_exchange,SHFE,special_or_inactive_need_review_count,0
by_exchange,SHFE,rule_parseable_y_count,18
by_exchange,SHFE,remaining_review_count,20
by_exchange,SHFE,tick_size_missing_count,0
by_exchange,SHFE,last_trading_day_rule_missing_count,2
by_exchange,SHFE,settlement_type_missing_count,2
